alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1750554786.8451,elite,99.558354046017,1742334563.7164,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Po Kong",Asia,AS,"Hong Kong",HK,,true,"Cloudflare London, LLC",22.338,114.2,false,"SaiBo HongKong Co., Limited",false,"Wong Tai Sin",success,Asia/Hong_Kong,,1752369573,1752833282.9977,80,http,http://103.160.204.151:80,false,84.144830703735,12270,883,93.286702653387,103.160.204.151
true,1750602970.2173,elite,98.359077605787,1742576460.9551,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Vilnius,Europe,EU,Lithuania,LT,,true,"Lrtc Network",54.6884,25.2152,false,"SC ""Lithuanian Radio and TV Center""",false,Vilnius,success,Europe/Vilnius,04347,1752417687,1752833282.477,80,http,http://89.116.250.107:80,false,71.282863616943,13077,7305,64.159552546364,89.116.250.107
true,1750609731.7856,elite,101.79779528445,1742485225.214,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",false,"New York",success,America/New_York,10013,1752424680,1752833282.3954,80,http,http://216.205.52.77:80,false,46.320676803589,12695,3318,79.279335539874,216.205.52.77
true,1750611954.3447,elite,101.09372847294,1750611954.3447,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1752426489,1752833281.7925,80,http,http://108.162.193.85:80,false,51.764011383057,12508,0,100,108.162.193.85
true,1750602750.0546,elite,98.454648113317,1742551699.7836,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0247,82.9259,false,"Zaymer PJSC",false,"Novosibirsk Oblast",success,Asia/Novosibirsk,630075,1752417808,1752833281.6219,80,http,http://45.67.215.121:80,false,68.477392196655,12881,7070,64.563179790487,45.67.215.121
true,1751960939.5812,elite,100.83123127081,1720570174.1202,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",false,Florida,success,America/New_York,33487,1752415905,1752833281.3299,80,http,http://69.84.182.42:80,false,18.637418746948,12838,3794,77.188552188552,69.84.182.42
true,1750566294.7672,elite,100.27735405306,1742569589.5156,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",false,Moscow,success,Europe/Moscow,,1752381185,1752833281.2349,80,http,http://185.221.160.50:80,false,270.96056938171,12323,537,95.824261275272,185.221.160.50
true,1752178587.6536,elite,98.533074526239,1742892927.7295,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Cloudflare London, LLC",1.35208,103.82,false,"Tang Dynastic Technology Pte. LTD",false,"North West",success,Asia/Singapore,858877,1752424508,1752833281.2194,80,http,http://45.8.211.134:80,false,149.76382255554,12476,3204,79.566326530612,45.8.211.134
true,1751960962.3198,elite,99.625657504522,1742353288.5082,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752367571,1752833281.0794,80,http,http://170.114.45.180:80,false,77.842950820923,12322,898,93.20726172466,170.114.45.180
true,1751960883.7006,elite,97.935680813504,1720503969.6498,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1752321645,1752833281.0648,80,http,http://141.101.115.251:80,false,78.75394821167,12996,4321,75.047641046371,141.101.115.251
true,1750566787.9157,elite,101.72865615949,1742577008.4863,"AS397273 Render",RENDER,"San Francisco","North America",NA,"United States",US,"South of Market",false,Render,37.7775,-122.397,false,Render,false,California,success,America/Los_Angeles,94107,1752381448,1752833281.0602,80,http,http://216.24.57.159:80,false,52.794933319092,12346,537,95.831716215167,216.24.57.159
true,1750609591.4774,elite,100.04859852956,1742364334.8764,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",false,Moscow,success,Europe/Moscow,,1752424591,1752833281.0264,80,http,http://185.221.160.85:80,false,46.419143676758,12297,3251,79.09055827116,185.221.160.85
true,1750600991.5665,elite,101.82474264632,1742548043.5801,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752415652,1752833280.9171,80,http,http://170.114.45.215:80,false,125.55837631226,12291,2963,80.575586731349,170.114.45.215
true,1750545064.5999,elite,98.325668366214,1742820190.2724,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",false,Florida,success,America/New_York,33487,1752359965,1752833280.822,80,http,http://69.84.182.144:80,false,54.986715316772,12696,764,94.323922734027,69.84.182.144
true,1750575177.8317,elite,100.98006460532,1742333383.7696,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752389812,1752833280.8175,80,http,http://102.177.176.237:80,false,47.018527984619,12183,890,93.19207526964,102.177.176.237
true,1750556342.8595,elite,99.210445312056,1742356749.2158,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0247,82.9259,false,"Zaymer PJSC",false,"Novosibirsk Oblast",success,Asia/Novosibirsk,630075,1752371038,1752833280.8068,80,http,http://45.67.215.123:80,false,75.403213500977,12419,885,93.347865303668,45.67.215.123
true,1751961287.5432,elite,99.599373623093,1742343146.0775,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0247,82.9259,false,"Zaymer PJSC",false,"Novosibirsk Oblast",success,Asia/Novosibirsk,630075,1752417611,1752833280.7756,80,http,http://45.67.215.2:80,false,84.446430206299,12660,3290,79.373040752351,45.67.215.2
true,1751961142.6181,elite,99.221459976467,1742332876.4176,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752424454,1752833280.7727,80,http,http://102.177.176.235:80,false,47.512054443359,12409,3275,79.118847232849,102.177.176.235
true,1750602984.1142,elite,99.260895974784,1742426661.4657,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",false,"New York",success,America/New_York,10013,1752417920,1752833280.5641,80,http,http://216.205.52.241:80,false,175.75287818909,12379,3265,79.129378675531,216.205.52.241
true,1752700655.2881,elite,1185.0965441446,1750803758.316,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Xi'an,Asia,AS,China,CN,,false,Chinanet,34.2635,108.9246,false,"Chinanet SN",true,Shaanxi,success,Asia/Shanghai,,1752371105,1752833280.3779,8085,http,http://117.36.76.86:8085,false,2202.6827335358,9916,505,95.154015929373,117.36.76.86
true,1752178217.6183,elite,99.265732286449,1720501177.014,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Paris,Europe,EU,France,FR,,true,CLOUDFLARE,48.8566,2.35222,false,,false,Île-de-France,success,Europe/Paris,75000,1752316524,1752833280.3465,80,http,http://141.101.120.100:80,false,41.520833969116,12719,1943,86.7480561997,141.101.120.100
true,1750610065.9614,elite,100.86401411555,1742456975.3754,"AS397273 Render",RENDER,"San Francisco","North America",NA,"United States",US,"South of Market",false,Render,37.7775,-122.397,false,Render,false,California,success,America/Los_Angeles,94107,1752424657,1752833280.2388,80,http,http://216.24.57.53:80,false,91.387033462524,12296,3914,75.854410857495,216.24.57.53
true,1752178525.5745,elite,100.28120644142,1750621831.7912,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752436595,1752833280.0923,80,http,http://170.114.46.222:80,false,113.72470855713,12119,1,99.991749174917,170.114.46.222
true,1750574031.5648,elite,101.6243363388,1742334292.4371,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752388841,1752833280.0104,80,http,http://102.177.176.54:80,false,145.71642875671,12206,899,93.140022892026,102.177.176.54
true,1751958561.0225,elite,102.18745065442,1742362734.6872,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752405521,1752833279.963,80,http,http://170.114.45.24:80,false,41.582345962524,12184,885,93.228250057388,170.114.45.24
true,1750557260.2113,elite,99.951337393076,1742332705.8107,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752372100,1752833279.8742,80,http,http://102.177.176.167:80,false,48.624038696289,12228,891,93.208323805168,102.177.176.167
true,1750603221.4335,elite,100.9859001981,1742394329.1807,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",false,Florida,success,America/New_York,33487,1752417722,1752833279.8731,80,http,http://69.84.182.229:80,false,45.562267303467,12529,3239,79.458396752917,69.84.182.229
true,1750602563.0894,elite,101.73775929518,1742340268.3275,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0247,82.9259,false,"Zaymer PJSC",false,"Novosibirsk Oblast",success,Asia/Novosibirsk,630075,1752417363,1752833279.7702,80,http,http://45.67.215.138:80,false,81.383943557739,12429,3288,79.079977094865,45.67.215.138
true,1750603225.5606,elite,100.61490913754,1742335303.5901,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752417816,1752833279.7515,80,http,http://102.177.176.112:80,false,129.24194335938,12494,3286,79.176172370089,102.177.176.112
