name,profile_url,affiliation,email,citations,interests,profile_picture_url,profile_picture_alt,label,tab_index,page_number,scraped_at
Yoshua Bengio,https://scholar.google.com/citations?hl=en&user=kukA0LcAAAAJ,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",Verified email at umontreal.ca,Cited by 956022,Machine learning; deep learning; artificial intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=kukA0LcAAAAJ&citpid=3,Yoshua Bengio,artificial_intelligence,1,1,2025-07-17T11:15:49.119713
Geoffrey Hinton,https://scholar.google.com/citations?hl=en&user=JicYPdAAAAAJ,"Emeritus Prof. Computer Science, University of Toronto",Verified email at cs.toronto.edu,Cited by 938886,machine learning; psychology; artificial intelligence; cognitive science; computer science,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=JicYPdAAAAAJ&citpid=2,Geoffrey Hinton,artificial_intelligence,1,1,2025-07-17T11:15:49.214116
Ilya Sutskever,https://scholar.google.com/citations?hl=en&user=x04W_mMAAAAJ,Co-Founder and Chief Scientist at Safe Superintelligence Inc,Verified email at ssi.inc,Cited by 664625,Machine Learning; Neural Networks; Artificial Intelligence; Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=x04W_mMAAAAJ&citpid=12,Ilya Sutskever,artificial_intelligence,1,1,2025-07-17T11:15:49.299249
Shaoqing Ren,https://scholar.google.com/citations?hl=en&user=AUhj438AAAAJ,NIO,Verified email at nio.com,Cited by 436370,Computer Vision; Deep Learning; Autonomous Driving; Artificial Intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=AUhj438AAAAJ&citpid=4,Shaoqing Ren,artificial_intelligence,1,1,2025-07-17T11:15:49.386541
Jeff Dean,https://scholar.google.com/citations?hl=en&user=NMS69lQAAAAJ,"Google Chief Scientist, Google Research and Google DeepMind",Verified email at google.com,Cited by 356490,Distributed systems; Artificial Intelligence; machine learning; compilers; computer architecture,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=NMS69lQAAAAJ&citpid=4,Jeff Dean,artificial_intelligence,1,1,2025-07-17T11:15:49.475714
Oriol Vinyals,https://scholar.google.com/citations?hl=en&user=NkzyCvUAAAAJ,Research Scientist at Google DeepMind,Verified email at google.com,Cited by 353956,Artificial Intelligence; Machine Learning; Deep Learning; Vision; Natural Language Processing,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=NkzyCvUAAAAJ&citpid=2,Oriol Vinyals,artificial_intelligence,1,1,2025-07-17T11:15:49.575894
Quoc V. Le,https://scholar.google.com/citations?hl=en&user=vfT6-XIAAAAJ,"Research Scientist, Google",Verified email at stanford.edu,Cited by 348306,Machine Learning; Artificial Intelligence; Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=vfT6-XIAAAAJ&citpid=4,Quoc V. Le,artificial_intelligence,1,1,2025-07-17T11:15:49.664017
Michael I. Jordan,https://scholar.google.com/citations?hl=en&user=yxUduqMAAAAJ,"Professor of Electrical Engineering and Computer Sciences and Professor of Statistics, UC …",Verified email at cs.berkeley.edu,Cited by 332172,machine learning; computer science; statistics; artificial intelligence; optimization,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=yxUduqMAAAAJ&citpid=10,Michael I. Jordan,artificial_intelligence,1,1,2025-07-17T11:15:49.762899
Stefano Giagu,https://scholar.google.com/citations?hl=en&user=GjtUFQsAAAAJ,Sapienza University of Rome,Verified email at uniroma1.it,Cited by 315440,Particle Physics; Machine Learning; Artificial Intelligence; Quantum Computing; Data Analysis,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=GjtUFQsAAAAJ&citpid=3,Stefano Giagu,artificial_intelligence,1,1,2025-07-17T11:15:49.847318
Diederik P. Kingma,https://scholar.google.com/citations?hl=en&user=yyIoQu4AAAAJ,Anthropic,Verified email at anthropic.com,Cited by 313365,Machine Learning; Deep Learning; Neural Networks; Generative Models; Artificial Intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=yyIoQu4AAAAJ&citpid=4,Diederik P. Kingma,artificial_intelligence,1,1,2025-07-17T11:15:49.936080
